# timestamp_planned,timestamp_executed,observer_id,node_id,pin_name,value
1554347204.0000000,1554347204.0000000,2,2,RST,0
1554347204.0000000,1554347204.0000000,2,2,RST,1
1554347204.0000000,1554347204.0000000,2,2,RST,0
1554347205.0000000,1554347205.0000000,2,2,SIG2,1
1554347209.0000000,1554347209.0000000,2,2,SIG1,1
1554347210.0000000,1554347210.0000000,2,2,SIG1,0
1554347211.0000000,1554347211.0000000,2,2,SIG1,1
1554347212.0000000,1554347212.0000000,2,2,SIG1,0
1554347213.0000000,1554347213.0000000,2,2,SIG1,1
1554347214.0000000,1554347214.0000000,2,2,SIG1,0
1554347215.0000000,1554347215.0000000,2,2,SIG1,1
1554347216.0000000,1554347216.0000000,2,2,SIG1,0
1554347217.0000000,1554347217.0000000,2,2,SIG2,0
1554347217.0000000,1554347217.0000000,2,2,SIG1,1
1554347218.0000000,1554347218.0000000,2,2,SIG1,0
1554347219.0000000,1554347219.0000000,2,2,SIG1,1
1554347220.0000000,1554347220.0000000,2,2,SIG1,0
1554347221.0000000,1554347221.0000000,2,2,SIG1,1
1554347222.0000000,1554347222.0000000,2,2,SIG1,0
1554347223.0000000,1554347223.0000000,2,2,SIG1,1
1554347224.0000000,1554347224.0000000,2,2,SIG1,0
1554347225.0000000,1554347225.0000000,2,2,SIG1,1
1554347226.0000000,1554347226.0000000,2,2,SIG1,0
1554347227.0000000,1554347227.0000000,2,2,SIG1,1
1554347228.0000000,1554347228.0000000,2,2,SIG1,0
1554347229.0000000,1554347229.0000000,2,2,SIG1,1
1554347230.0000000,1554347230.0000000,2,2,SIG1,0
1554347231.0000000,1554347231.0000000,2,2,SIG1,1
1554347231.0002700,1554347231.0002700,2,2,SIG2,1
1554347232.0000000,1554347232.0000000,2,2,SIG1,0
1554347233.0000000,1554347233.0000000,2,2,SIG1,1
1554347234.0000000,1554347234.0000000,2,2,SIG1,0
1554347235.0000000,1554347235.0000000,2,2,SIG1,1
1554347236.0000000,1554347236.0000000,2,2,SIG1,0
1554347237.0000000,1554347237.0000000,2,2,SIG1,1
1554347237.0003330,1554347237.0003330,2,2,SIG2,0
1554347238.0000000,1554347238.0000000,2,2,SIG1,0
1554347239.0000000,1554347239.0000000,2,2,SIG1,1
1554347240.0000000,1554347240.0000000,2,2,SIG1,0
1554347241.0000000,1554347241.0000000,2,2,SIG1,1
1554347242.0000000,1554347242.0000000,2,2,SIG1,0
1554347243.0000000,1554347243.0000000,2,2,SIG1,1
1554347244.0000000,1554347244.0000000,2,2,SIG1,0
1554347245.0000000,1554347245.0000000,2,2,SIG1,1
1554347246.0000000,1554347246.0000000,2,2,SIG1,0
1554347247.0000000,1554347247.0000000,2,2,SIG1,1
1554347248.0000000,1554347248.0000000,2,2,SIG1,0
1554347249.0000000,1554347249.0000000,2,2,SIG1,1
1554347250.0000000,1554347250.0000000,2,2,SIG1,0
1554347251.0000000,1554347251.0000000,2,2,SIG1,1
