# timestamp,observer_id,node_id,pin_name,value
1554347205.0000345,2,2,INT2,1
1554347209.0000432,2,2,INT1,1
1554347210.0000438,2,2,INT1,0
1554347211.0000433,2,2,INT1,1
1554347212.0000440,2,2,INT1,0
1554347213.0000435,2,2,INT1,1
1554347214.0000441,2,2,INT1,0
1554347215.0000436,2,2,INT1,1
1554347216.0000442,2,2,INT1,0
1554347217.0000355,2,2,INT2,0
1554347217.0000821,2,2,INT1,1
1554347218.0000442,2,2,INT1,0
1554347219.0000437,2,2,INT1,1
1554347220.0000443,2,2,INT1,0
1554347221.0000438,2,2,INT1,1
1554347222.0000444,2,2,INT1,0
1554347223.0000438,2,2,INT1,1
1554347224.0000444,2,2,INT1,0
1554347225.0000438,2,2,INT1,1
1554347226.0000445,2,2,INT1,0
1554347227.0000439,2,2,INT1,1
1554347228.0000445,2,2,INT1,0
1554347229.0000439,2,2,INT1,1
1554347230.0000445,2,2,INT1,0
1554347231.0000440,2,2,INT1,1
1554347231.0003056,2,2,INT2,1
1554347232.0000446,2,2,INT1,0
1554347233.0000440,2,2,INT1,1
1554347234.0000446,2,2,INT1,0
1554347235.0000440,2,2,INT1,1
1554347236.0000447,2,2,INT1,0
1554347237.0000441,2,2,INT1,1
1554347237.0003689,2,2,INT2,0
1554347238.0000447,2,2,INT1,0
1554347239.0000441,2,2,INT1,1
1554347240.0000447,2,2,INT1,0
1554347241.0000441,2,2,INT1,1
1554347242.0000447,2,2,INT1,0
1554347243.0000442,2,2,INT1,1
1554347244.0000447,2,2,INT1,0
1554347245.0000442,2,2,INT1,1
1554347246.0000448,2,2,INT1,0
1554347247.0000442,2,2,INT1,1
1554347248.0000448,2,2,INT1,0
1554347249.0000442,2,2,INT1,1
1554347250.0000448,2,2,INT1,0
1554347251.0000443,2,2,INT1,1
1554347252.0000448,2,2,INT1,0
1554347253.0000443,2,2,INT1,1
1554347254.0000449,2,2,INT1,0
1554347255.0000443,2,2,INT1,1
1554347256.0000449,2,2,INT1,0
1554347257.0000443,2,2,INT1,1
1554347258.0000449,2,2,INT1,0
1554347263.0000949,2,2,INT2,1
1554347264.0000047,2,2,INT2,0
1554347264.0000047,2,2,INT2,1
1554347264.0000048,2,2,INT2,0
1554347264.0000048,2,2,INT2,1
1554347264.0000049,2,2,INT2,0
1554347205.0000345,3,3,INT2,1
1554347209.0000433,3,3,INT1,1
1554347210.0000440,3,3,INT1,0
1554347211.0000434,3,3,INT1,1
1554347212.0000442,3,3,INT1,0
1554347213.0000436,3,3,INT1,1
1554347214.0000442,3,3,INT1,0
1554347215.0000437,3,3,INT1,1
1554347216.0000443,3,3,INT1,0
1554347217.0000356,3,3,INT2,0
1554347217.0000822,3,3,INT1,1
1554347218.0000444,3,3,INT1,0
1554347219.0000438,3,3,INT1,1
1554347220.0000445,3,3,INT1,0
1554347221.0000439,3,3,INT1,1
1554347222.0000445,3,3,INT1,0
1554347223.0000439,3,3,INT1,1
1554347224.0000446,3,3,INT1,0
1554347225.0000440,3,3,INT1,1
1554347226.0000446,3,3,INT1,0
1554347227.0000440,3,3,INT1,1
1554347228.0000447,3,3,INT1,0
1554347229.0000441,3,3,INT1,1
1554347230.0000447,3,3,INT1,0
1554347231.0000441,3,3,INT1,1
