# timestamp_planned,timestamp_executed,observer_id,node_id,pin_name,value
1554798789.0000000,1554798789.0000000,1,1,RST,0
1554798789.0000000,1554798789.0000000,1,1,RST,1
1554798789.0000000,1554798789.0000000,1,1,RST,0
1554798969.0000000,1554798969.0000000,1,1,RST,1
1554798789.0000000,1554798789.0000000,18,18,RST,0
1554798789.0000000,1554798789.0000000,18,18,RST,1
1554798789.0000000,1554798789.0000000,18,18,RST,0
1554798969.0000000,1554798969.0000000,18,18,RST,1
1554798789.0000000,1554798789.0000000,2,2,RST,0
1554798789.0000000,1554798789.0000000,2,2,RST,1
1554798789.0000000,1554798789.0000000,2,2,RST,0
1554798789.0000000,1554798789.0000000,8,8,RST,0
1554798789.0000000,1554798789.0000000,8,8,RST,1
1554798789.0000000,1554798789.0000000,8,8,RST,0
1554798789.0000000,1554798789.0000000,16,16,RST,0
1554798789.0000000,1554798789.0000000,16,16,RST,1
1554798789.0000000,1554798789.0000000,16,16,RST,0
1554798789.0000000,1554798789.0000000,22,22,RST,0
1554798789.0000000,1554798789.0000000,22,22,RST,1
1554798789.0000000,1554798789.0000000,22,22,RST,0
1554798789.0000000,1554798789.0000000,28,28,RST,0
1554798789.0000000,1554798789.0000000,28,28,RST,1
1554798789.0000000,1554798789.0000000,28,28,RST,0
1554798789.0000000,1554798789.0000000,6,6,RST,0
1554798789.0000000,1554798789.0000000,6,6,RST,1
1554798789.0000000,1554798789.0000000,6,6,RST,0
1554798789.0000000,1554798789.0000000,33,33,RST,0
1554798789.0000000,1554798789.0000000,33,33,RST,1
1554798789.0000000,1554798789.0000000,33,33,RST,0
1554798789.0000000,1554798789.0000000,4,4,RST,0
1554798789.0000000,1554798789.0000000,4,4,RST,1
1554798789.0000000,1554798789.0000000,4,4,RST,0
1554798789.0000000,1554798789.0000000,3,3,RST,0
1554798789.0000000,1554798789.0000000,3,3,RST,1
1554798789.0000000,1554798789.0000000,3,3,RST,0
1554798969.0000000,1554798969.0000000,8,8,RST,1
1554798969.0000000,1554798969.0000000,2,2,RST,1
1554798969.0000000,1554798969.0000000,28,28,RST,1
1554798969.0000000,1554798969.0000000,22,22,RST,1
1554798969.0000000,1554798969.0000000,33,33,RST,1
1554798969.0000000,1554798969.0000000,6,6,RST,1
1554798969.0000000,1554798969.0000000,16,16,RST,1
1554798969.0000000,1554798969.0000000,4,4,RST,1
1554798969.0000000,1554798969.0000000,3,3,RST,1
