# timestamp_planned,timestamp_executed,observer_id,node_id,pin_name,value
1553666490.0000000,1553666490.0000000,1,1,RST,0
1553666490.0000000,1553666490.0000000,1,1,RST,1
1553666490.0000000,1553666490.0000000,1,1,RST,0
1553666550.0000000,1553666550.0000000,1,1,RST,1
1553666490.0000000,1553666490.0000000,3,3,RST,0
1553666490.0000000,1553666490.0000000,3,3,RST,1
1553666490.0000000,1553666490.0000000,3,3,RST,0
1553666550.0000000,1553666550.0000000,3,3,RST,1
1553666490.0000000,1553666490.0000000,2,2,RST,0
1553666490.0000000,1553666490.0000000,2,2,RST,1
1553666490.0000000,1553666490.0000000,2,2,RST,0
1553666550.0000000,1553666550.0000000,2,2,RST,1
