# timestamp,observer_id,node_id,pin_name,value
1553666490.9941283,1,1,LED1,1
1553666491.9706608,1,1,LED1,0
1553666491.9706633,1,1,LED2,1
1553666492.9471934,1,1,LED1,1
1553666493.9237259,1,1,LED1,0
1553666493.9237283,1,1,LED2,0
1553666493.9237305,1,1,LED3,1
1553666494.9002581,1,1,LED1,1
1553666495.8767903,1,1,LED1,0
1553666495.8767927,1,1,LED2,1
1553666496.8533224,1,1,LED1,1
1553666497.8298544,1,1,LED1,0
1553666497.8298569,1,1,LED2,0
1553666497.8298590,1,1,LED3,0
1553666498.8063864,1,1,LED1,1
1553666499.7829184,1,1,LED1,0
1553666499.7829209,1,1,LED2,1
1553666500.7594504,1,1,LED1,1
1553666501.7359824,1,1,LED1,0
1553666501.7359848,1,1,LED2,0
1553666501.7359870,1,1,LED3,1
1553666502.7125144,1,1,LED1,1
1553666503.6890463,1,1,LED1,0
1553666503.6890488,1,1,LED2,1
1553666504.6655782,1,1,LED1,1
1553666505.6421102,1,1,LED1,0
1553666505.6421126,1,1,LED2,0
1553666505.6421148,1,1,LED3,0
1553666506.6186421,1,1,LED1,1
1553666507.5951740,1,1,LED1,0
1553666507.5951765,1,1,LED2,1
1553666508.5717059,1,1,LED1,1
1553666509.5482379,1,1,LED1,0
1553666509.5482404,1,1,LED2,0
1553666509.5482426,1,1,LED3,1
1553666510.5247699,1,1,LED1,1
1553666511.5013017,1,1,LED1,0
1553666511.5013042,1,1,LED2,1
1553666512.4778336,1,1,LED1,1
1553666513.4543656,1,1,LED1,0
1553666513.4543681,1,1,LED2,0
1553666513.4543703,1,1,LED3,0
1553666514.4308975,1,1,LED1,1
1553666515.4074293,1,1,LED1,0
1553666515.4074319,1,1,LED2,1
1553666516.3839613,1,1,LED1,1
1553666517.3604932,1,1,LED1,0
1553666517.3604957,1,1,LED2,0
1553666517.3604980,1,1,LED3,1
1553666518.3370252,1,1,LED1,1
1553666519.3135571,1,1,LED1,0
1553666519.3135596,1,1,LED2,1
1553666520.2900889,1,1,LED1,1
1553666521.2666208,1,1,LED1,0
1553666521.2666232,1,1,LED2,0
1553666521.2666255,1,1,LED3,0
1553666522.2431526,1,1,LED1,1
1553666523.2196846,1,1,LED1,0
1553666523.2196871,1,1,LED2,1
1553666524.1962165,1,1,LED1,1
1553666525.1727484,1,1,LED1,0
1553666525.1727509,1,1,LED2,0
1553666525.1727531,1,1,LED3,1
1553666526.1492803,1,1,LED1,1
1553666527.1258124,1,1,LED1,0
1553666527.1258149,1,1,LED2,1
1553666528.1023444,1,1,LED1,1
1553666529.0788763,1,1,LED1,0
1553666529.0788788,1,1,LED2,0
1553666529.0788810,1,1,LED3,0
1553666530.0554082,1,1,LED1,1
1553666531.0319402,1,1,LED1,0
1553666531.0319427,1,1,LED2,1
1553666532.0084722,1,1,LED1,1
1553666532.9850041,1,1,LED1,0
1553666532.9850066,1,1,LED2,0
1553666532.9850089,1,1,LED3,1
1553666533.9615360,1,1,LED1,1
1553666534.9380680,1,1,LED1,0
1553666534.9380704,1,1,LED2,1
1553666535.9146001,1,1,LED1,1
1553666536.8911320,1,1,LED1,0
1553666536.8911345,1,1,LED2,0
1553666536.8911367,1,1,LED3,0
1553666537.8676640,1,1,LED1,1
1553666538.8441961,1,1,LED1,0
1553666538.8441986,1,1,LED2,1
1553666539.8207280,1,1,LED1,1
1553666540.7972598,1,1,LED1,0
1553666540.7972624,1,1,LED2,0
1553666540.7972646,1,1,LED3,1
1553666541.7737919,1,1,LED1,1
1553666542.7503240,1,1,LED1,0
1553666542.7503265,1,1,LED2,1
1553666543.7268561,1,1,LED1,1
1553666544.7033881,1,1,LED1,0
1553666544.7033906,1,1,LED2,0
1553666544.7033928,1,1,LED3,0
1553666545.6799200,1,1,LED1,1
1553666546.6564521,1,1,LED1,0
1553666546.6564546,1,1,LED2,1
1553666547.6329842,1,1,LED1,1
1553666548.6095162,1,1,LED1,0
1553666548.6095187,1,1,LED2,0
1553666548.6095210,1,1,LED3,1
1553666549.5860482,1,1,LED1,1
1553666550.0000047,1,1,LED3,0
1553666550.0000078,1,1,LED1,0
1553666550.0000078,1,1,LED1,1
1553666550.0000078,1,1,LED1,0
1553666550.0000079,1,1,LED1,1
1553666550.0000079,1,1,LED1,0
1553666550.0000079,1,1,LED1,1
1553666550.0000079,1,1,LED1,0
1553666490.9939735,3,3,LED1,1
1553666491.9705112,3,3,LED1,0
1553666491.9705136,3,3,LED2,1
1553666492.9470487,3,3,LED1,1
1553666493.9235861,3,3,LED1,0
1553666493.9235886,3,3,LED2,0
1553666493.9235907,3,3,LED3,1
1553666494.9001235,3,3,LED1,1
1553666495.8766606,3,3,LED1,0
1553666495.8766630,3,3,LED2,1
1553666496.8531963,3,3,LED1,1
1553666497.8297327,3,3,LED1,0
1553666497.8297351,3,3,LED2,0
1553666497.8297373,3,3,LED3,0
1553666498.8062693,3,3,LED1,1
1553666499.7828060,3,3,LED1,0
1553666499.7828085,3,3,LED2,1
1553666500.7593431,3,3,LED1,1
1553666501.7358803,3,3,LED1,0
1553666501.7358828,3,3,LED2,0
1553666501.7358850,3,3,LED3,1
1553666502.7124175,3,3,LED1,1
1553666503.6889547,3,3,LED1,0
1553666503.6889571,3,3,LED2,1
1553666504.6654918,3,3,LED1,1
1553666505.6420291,3,3,LED1,0
1553666505.6420315,3,3,LED2,0
1553666505.6420337,3,3,LED3,0
1553666506.6185662,3,3,LED1,1
1553666507.5951034,3,3,LED1,0
1553666507.5951059,3,3,LED2,1
1553666508.5716406,3,3,LED1,1
1553666509.5481778,3,3,LED1,0
1553666509.5481803,3,3,LED2,0
1553666509.5481825,3,3,LED3,1
1553666510.5247151,3,3,LED1,1
1553666511.5012523,3,3,LED1,0
1553666511.5012548,3,3,LED2,1
1553666512.4777896,3,3,LED1,1
1553666513.4543268,3,3,LED1,0
1553666513.4543293,3,3,LED2,0
1553666513.4543315,3,3,LED3,0
1553666514.4308641,3,3,LED1,1
1553666515.4074013,3,3,LED1,0
1553666515.4074038,3,3,LED2,1
1553666516.3839386,3,3,LED1,1
1553666517.3604759,3,3,LED1,0
1553666517.3604784,3,3,LED2,0
1553666517.3604806,3,3,LED3,1
1553666518.3370132,3,3,LED1,1
1553666519.3135505,3,3,LED1,0
1553666519.3135530,3,3,LED2,1
1553666520.2900877,3,3,LED1,1
1553666521.2666250,3,3,LED1,0
1553666521.2666275,3,3,LED2,0
1553666521.2666297,3,3,LED3,0
1553666522.2431623,3,3,LED1,1
1553666523.2196996,3,3,LED1,0
1553666523.2197021,3,3,LED2,1
1553666524.1962370,3,3,LED1,1
1553666525.1727744,3,3,LED1,0
1553666525.1727769,3,3,LED2,0
1553666525.1727792,3,3,LED3,1
1553666526.1493118,3,3,LED1,1
1553666527.1258491,3,3,LED1,0
1553666527.1258516,3,3,LED2,1
1553666528.1023865,3,3,LED1,1
1553666529.0789239,3,3,LED1,0
1553666529.0789264,3,3,LED2,0
1553666529.0789287,3,3,LED3,0
1553666530.0554614,3,3,LED1,1
1553666531.0319987,3,3,LED1,0
1553666531.0320012,3,3,LED2,1
1553666532.0085362,3,3,LED1,1
1553666532.9850737,3,3,LED1,0
1553666532.9850762,3,3,LED2,0
1553666532.9850784,3,3,LED3,1
1553666533.9616111,3,3,LED1,1
1553666534.9381485,3,3,LED1,0
1553666534.9381510,3,3,LED2,1
1553666535.9146860,3,3,LED1,1
1553666536.8912234,3,3,LED1,0
1553666536.8912259,3,3,LED2,0
1553666536.8912281,3,3,LED3,0
1553666537.8677608,3,3,LED1,1
1553666538.8442983,3,3,LED1,0
1553666538.8443008,3,3,LED2,1
1553666539.8208358,3,3,LED1,1
1553666540.7973732,3,3,LED1,0
1553666540.7973757,3,3,LED2,0
1553666540.7973780,3,3,LED3,1
1553666541.7739107,3,3,LED1,1
1553666542.7504482,3,3,LED1,0
1553666542.7504508,3,3,LED2,1
1553666543.7269858,3,3,LED1,1
1553666544.7035233,3,3,LED1,0
1553666544.7035258,3,3,LED2,0
1553666544.7035281,3,3,LED3,0
1553666545.6800608,3,3,LED1,1
1553666546.6565984,3,3,LED1,0
1553666546.6566009,3,3,LED2,1
1553666547.6331360,3,3,LED1,1
1553666548.6096735,3,3,LED1,0
1553666548.6096760,3,3,LED2,0
1553666548.6096782,3,3,LED3,1
1553666549.5862110,3,3,LED1,1
1553666550.0000047,3,3,LED3,0
1553666550.0000047,3,3,LED3,1
1553666550.0000047,3,3,LED3,0
1553666550.0000076,3,3,LED1,0
1553666550.0000076,3,3,LED1,1
1553666550.0000077,3,3,LED1,0
1553666550.0000077,3,3,LED1,1
1553666550.0000077,3,3,LED1,0
1553666550.0000077,3,3,LED1,1
1553666550.0000077,3,3,LED1,0
1553666550.0000078,3,3,LED1,1
1553666550.0000078,3,3,LED1,0
1553666550.0000078,3,3,LED1,1
1553666550.0000078,3,3,LED1,0
1553666490.9940713,2,2,LED1,1
1553666491.9706009,2,2,LED1,0
1553666491.9706034,2,2,LED2,1
1553666492.9471183,2,2,LED1,1
1553666493.9236355,2,2,LED1,0
1553666493.9236380,2,2,LED2,0
1553666493.9236402,2,2,LED3,1
1553666494.9001527,2,2,LED1,1
1553666495.8766697,2,2,LED1,0
1553666495.8766722,2,2,LED2,1
1553666496.8531868,2,2,LED1,1
1553666497.8297039,2,2,LED1,0
1553666497.8297063,2,2,LED2,0
1553666497.8297085,2,2,LED3,0
1553666498.8062210,2,2,LED1,1
1553666499.7827378,2,2,LED1,0
1553666499.7827403,2,2,LED2,1
1553666500.7592690,2,2,LED1,1
1553666501.7358006,2,2,LED1,0
1553666501.7358031,2,2,LED2,0
1553666501.7358053,2,2,LED3,1
1553666502.7123322,2,2,LED1,1
1553666503.6888636,2,2,LED1,0
1553666503.6888661,2,2,LED2,1
1553666504.6653952,2,2,LED1,1
1553666505.6419267,2,2,LED1,0
1553666505.6419292,2,2,LED2,0
1553666505.6419314,2,2,LED3,0
1553666506.6184583,2,2,LED1,1
1553666507.5949899,2,2,LED1,0
1553666507.5949924,2,2,LED2,1
1553666508.5715215,2,2,LED1,1
1553666509.5480531,2,2,LED1,0
1553666509.5480556,2,2,LED2,0
1553666509.5480578,2,2,LED3,1
1553666510.5245846,2,2,LED1,1
1553666511.5011161,2,2,LED1,0
1553666511.5011186,2,2,LED2,1
1553666512.4776476,2,2,LED1,1
1553666513.4541793,2,2,LED1,0
1553666513.4541818,2,2,LED2,0
1553666513.4541840,2,2,LED3,0
1553666514.4307109,2,2,LED1,1
1553666515.4072424,2,2,LED1,0
1553666515.4072449,2,2,LED2,1
1553666516.3837740,2,2,LED1,1
1553666517.3603056,2,2,LED1,0
1553666517.3603081,2,2,LED2,0
1553666517.3603103,2,2,LED3,1
1553666518.3368374,2,2,LED1,1
1553666519.3133690,2,2,LED1,0
1553666519.3133715,2,2,LED2,1
1553666520.2899003,2,2,LED1,1
1553666521.2664317,2,2,LED1,0
1553666521.2664342,2,2,LED2,0
1553666521.2664365,2,2,LED3,0
1553666522.2429634,2,2,LED1,1
1553666523.2194952,2,2,LED1,0
1553666523.2194976,2,2,LED2,1
1553666524.1960270,2,2,LED1,1
1553666525.1725586,2,2,LED1,0
1553666525.1725610,2,2,LED2,0
1553666525.1725633,2,2,LED3,1
1553666526.1490903,2,2,LED1,1
1553666527.1256221,2,2,LED1,0
1553666527.1256246,2,2,LED2,1
1553666528.1021538,2,2,LED1,1
1553666529.0786854,2,2,LED1,0
1553666529.0786879,2,2,LED2,0
1553666529.0786902,2,2,LED3,0
1553666530.0552170,2,2,LED1,1
1553666531.0317488,2,2,LED1,0
1553666531.0317513,2,2,LED2,1
1553666532.0082805,2,2,LED1,1
1553666532.9848124,2,2,LED1,0
1553666532.9848149,2,2,LED2,0
1553666532.9848171,2,2,LED3,1
1553666533.9613441,2,2,LED1,1
1553666534.9378758,2,2,LED1,0
1553666534.9378783,2,2,LED2,1
1553666535.9144074,2,2,LED1,1
1553666536.8909390,2,2,LED1,0
1553666536.8909415,2,2,LED2,0
1553666536.8909438,2,2,LED3,0
1553666537.8674707,2,2,LED1,1
1553666538.8440025,2,2,LED1,0
1553666538.8440050,2,2,LED2,1
1553666539.8205344,2,2,LED1,1
1553666540.7970661,2,2,LED1,0
1553666540.7970686,2,2,LED2,0
1553666540.7970709,2,2,LED3,1
1553666541.7735979,2,2,LED1,1
1553666542.7501298,2,2,LED1,0
1553666542.7501323,2,2,LED2,1
1553666543.7266616,2,2,LED1,1
1553666544.7031934,2,2,LED1,0
1553666544.7031959,2,2,LED2,0
1553666544.7031982,2,2,LED3,0
1553666545.6797252,2,2,LED1,1
1553666546.6562571,2,2,LED1,0
1553666546.6562596,2,2,LED2,1
1553666547.6327889,2,2,LED1,1
1553666548.6093204,2,2,LED1,0
1553666548.6093229,2,2,LED2,0
1553666548.6093252,2,2,LED3,1
1553666549.5858522,2,2,LED1,1
1553666550.0000048,2,2,LED3,0
1553666550.0000079,2,2,LED1,0
1553666550.0000080,2,2,LED1,1
1553666550.0000080,2,2,LED1,0
1553666550.0000080,2,2,LED1,1
1553666550.0000080,2,2,LED1,0
1553666550.0000081,2,2,LED1,1
1553666550.0000081,2,2,LED1,0
1553666550.0000081,2,2,LED1,1
1553666550.0000081,2,2,LED1,0
