# observer_id,node_id,mean_mA
1,1,0.000000
2,2,0.000000
3,3,0.000000
4,4,0.000000
6,6,0.000000
33,33,0.000000
8,8,0.000000
16,16,0.000000
18,18,0.000000
22,22,0.000000
28,28,0.000000
